id,final_world_state
train-A9164-0,1:g 2:_ 3:_ 4:_ 5:o 6:ooo 7:gggg
train-A9164-1,1:g 2:_ 3:_ 4:_ 5:_ 6:ooo 7:gggg
train-A9164-2,1:_ 2:_ 3:_ 4:_ 5:_ 6:ooo 7:gggg
train-A9164-3,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:gggg
train-A9164-4,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:ggg
train-A9165-0,1:yy 2:ooo 3:pppp 4:o 5:gggg 6:rrr 7:pp
train-A9165-1,1:yy 2:ooo 3:p 4:o 5:gggg 6:rrr 7:pp
train-A9165-2,1:yy 2:ooo 3:po 4:_ 5:gggg 6:rrr 7:pp
train-A9165-3,1:yy 2:ooo 3:bb 4:_ 5:gggg 6:rrr 7:pp
train-A9165-4,1:yy 2:ooo 3:b 4:_ 5:gggg 6:rrr 7:pp
train-A9166-0,1:g 2:rr 3:_ 4:rrrr 5:g 6:_ 7:ppp
train-A9166-1,1:_ 2:rrg 3:_ 4:rrrr 5:g 6:_ 7:ppp
train-A9166-2,1:_ 2:rrg 3:_ 4:rrrr 5:_ 6:_ 7:ppp
train-A9166-3,1:_ 2:bbb 3:_ 4:rrrr 5:_ 6:_ 7:ppp
train-A9166-4,1:_ 2:bbb 3:_ 4:rrr 5:_ 6:_ 7:ppp
train-A9167-0,1:g 2:gggg 3:r 4:_ 5:rr 6:_ 7:ggg
train-A9167-1,1:gr 2:gggg 3:_ 4:_ 5:rr 6:_ 7:ggg
train-A9167-2,1:bb 2:gggg 3:_ 4:_ 5:rr 6:_ 7:ggg
train-A9167-3,1:_ 2:gggg 3:_ 4:_ 5:rr 6:_ 7:ggg
train-A9167-4,1:_ 2:gggg 3:_ 4:_ 5:r 6:_ 7:ggg
train-A9168-0,1:r 2:ooo 3:rrr 4:oo 5:gg 6:y 7:o
train-A9168-1,1:_ 2:ooo 3:rrr 4:oo 5:gg 6:y 7:o
train-A9168-2,1:_ 2:ooo 3:rrr 4:ooy 5:gg 6:_ 7:o
train-A9168-3,1:_ 2:_ 3:rrr 4:ooy 5:gg 6:_ 7:o
train-A9168-4,1:_ 2:_ 3:rrr 4:ooy 5:ggo 6:_ 7:_
train-A9169-0,1:_ 2:yyyy 3:gggg 4:p 5:o 6:g 7:rrrr
train-A9169-1,1:_ 2:yyyy 3:gggg 4:p 5:og 6:_ 7:rrrr
train-A9169-2,1:_ 2:yyyy 3:gggg 4:_ 5:ogp 6:_ 7:rrrr
train-A9169-3,1:_ 2:yyyy 3:gggg 4:_ 5:bbb 6:_ 7:rrrr
train-A9169-4,1:_ 2:yyyy 3:gggg 4:_ 5:bbb 6:_ 7:_
train-A9171-0,1:y 2:gg 3:pp 4:_ 5:pppp 6:_ 7:_
train-A9171-1,1:_ 2:gg 3:pp 4:_ 5:pppp 6:_ 7:_
train-A9171-2,1:_ 2:g 3:pp 4:_ 5:pppp 6:_ 7:_
train-A9171-3,1:_ 2:_ 3:ppg 4:_ 5:pppp 6:_ 7:_
train-A9171-4,1:_ 2:_ 3:ppg 4:_ 5:ppp 6:_ 7:_
train-A9172-0,1:_ 2:_ 3:_ 4:pppp 5:oo 6:_ 7:ppp
train-A9172-1,1:_ 2:_ 3:_ 4:pppp 5:oo 6:_ 7:_
train-A9172-2,1:_ 2:_ 3:_ 4:pppp 5:_ 6:_ 7:_
train-A9172-3,1:_ 2:_ 3:_ 4:p 5:_ 6:_ 7:_
train-A9172-4,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9173-0,1:_ 2:gggg 3:pp 4:ooo 5:_ 6:gg 7:oooo
train-A9173-1,1:_ 2:gggg 3:pp 4:oo 5:_ 6:gg 7:oooo
train-A9173-2,1:_ 2:gggg 3:pp 4:oo 5:_ 6:gg 7:ooo
train-A9173-3,1:_ 2:g 3:pp 4:oo 5:_ 6:gg 7:ooo
train-A9173-4,1:_ 2:gpp 3:_ 4:oo 5:_ 6:gg 7:ooo
train-A9174-0,1:gggg 2:rrr 3:ppp 4:_ 5:_ 6:r 7:_
train-A9174-1,1:_ 2:rrr 3:ppp 4:_ 5:_ 6:r 7:_
train-A9174-2,1:_ 2:rrr 3:ppp 4:_ 5:_ 6:_ 7:_
train-A9174-3,1:_ 2:r 3:ppp 4:_ 5:_ 6:_ 7:_
train-A9174-4,1:_ 2:r 3:p 4:_ 5:_ 6:_ 7:_
train-A9175-0,1:_ 2:ggg 3:rrr 4:_ 5:rrr 6:_ 7:pppp
train-A9175-1,1:_ 2:ggg 3:r 4:_ 5:rrr 6:_ 7:pppp
train-A9175-2,1:_ 2:ggg 3:_ 4:_ 5:rrr 6:_ 7:pppp
train-A9175-3,1:_ 2:ggg 3:_ 4:_ 5:rrr 6:_ 7:p
train-A9175-4,1:_ 2:gg 3:_ 4:_ 5:rrr 6:_ 7:p
train-A9176-0,1:oooo 2:rrrr 3:oo 4:pp 5:_ 6:o 7:_
train-A9176-1,1:oooo 2:rrrr 3:ooo 4:pp 5:_ 6:_ 7:_
train-A9176-2,1:oo 2:rrrr 3:ooo 4:pp 5:_ 6:_ 7:_
train-A9176-3,1:oo 2:rrrr 3:oo 4:pp 5:_ 6:_ 7:_
train-A9176-4,1:_ 2:rrrr 3:oo 4:pp 5:_ 6:_ 7:_
train-A9177-0,1:o 2:r 3:ggg 4:_ 5:gg 6:_ 7:rr
train-A9177-1,1:o 2:_ 3:ggg 4:_ 5:gg 6:_ 7:rr
train-A9177-2,1:orr 2:_ 3:ggg 4:_ 5:gg 6:_ 7:_
train-A9177-3,1:bbb 2:_ 3:ggg 4:_ 5:gg 6:_ 7:_
train-A9177-4,1:bbb 2:_ 3:g 4:_ 5:gg 6:_ 7:_
train-A9178-0,1:g 2:_ 3:oo 4:_ 5:gggg 6:_ 7:gg
train-A9178-1,1:g 2:_ 3:oo 4:_ 5:_ 6:_ 7:gg
train-A9178-2,1:_ 2:_ 3:oog 4:_ 5:_ 6:_ 7:gg
train-A9178-3,1:_ 2:_ 3:bbb 4:_ 5:_ 6:_ 7:gg
train-A9178-4,1:_ 2:_ 3:bbb 4:_ 5:_ 6:_ 7:g
train-A9180-0,1:_ 2:_ 3:g 4:rr 5:_ 6:oooo 7:_
train-A9180-1,1:_ 2:_ 3:grr 4:_ 5:_ 6:oooo 7:_
train-A9180-2,1:_ 2:_ 3:bbb 4:_ 5:_ 6:oooo 7:_
train-A9180-3,1:_ 2:_ 3:_ 4:_ 5:_ 6:oooo 7:_
train-A9180-4,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9181-0,1:yyy 2:oo 3:ooo 4:_ 5:ooo 6:oooo 7:_
train-A9181-1,1:yyy 2:oo 3:ooo 4:_ 5:o 6:oooo 7:_
train-A9181-2,1:yyy 2:oo 3:o 4:_ 5:o 6:oooo 7:_
train-A9181-3,1:yyy 2:oo 3:_ 4:_ 5:o 6:oooo 7:_
train-A9181-4,1:yyy 2:oo 3:_ 4:_ 5:o 6:oo 7:_
train-A9182-0,1:rrr 2:_ 3:oo 4:_ 5:_ 6:o 7:yyyy
train-A9182-1,1:rrr 2:_ 3:ooo 4:_ 5:_ 6:_ 7:yyyy
train-A9182-2,1:rrr 2:_ 3:_ 4:_ 5:_ 6:_ 7:yyyy
train-A9182-3,1:rrr 2:_ 3:_ 4:_ 5:_ 6:_ 7:yyy
train-A9182-4,1:rrr 2:_ 3:_ 4:_ 5:_ 6:_ 7:y
train-A9183-0,1:gg 2:gg 3:pppp 4:_ 5:g 6:_ 7:rrrr
train-A9183-1,1:gg 2:_ 3:pppp 4:_ 5:g 6:_ 7:rrrr
train-A9183-2,1:gg 2:_ 3:pppp 4:_ 5:g 6:_ 7:_
train-A9183-3,1:ggg 2:_ 3:pppp 4:_ 5:_ 6:_ 7:_
train-A9183-4,1:gg 2:_ 3:pppp 4:_ 5:_ 6:_ 7:_
train-A9184-0,1:p 2:pp 3:_ 4:_ 5:_ 6:rr 7:oooo
train-A9184-1,1:p 2:p 3:_ 4:_ 5:_ 6:rr 7:oooo
train-A9184-2,1:p 2:p 3:_ 4:_ 5:_ 6:rr 7:oo
train-A9184-3,1:_ 2:p 3:_ 4:_ 5:_ 6:rr 7:oop
train-A9184-4,1:_ 2:p 3:_ 4:_ 5:_ 6:rr 7:bbb
train-A9186-0,1:_ 2:r 3:rrr 4:rrr 5:_ 6:_ 7:oo
train-A9186-1,1:_ 2:r 3:rrr 4:rrr 5:_ 6:_ 7:_
train-A9186-2,1:_ 2:_ 3:rrr 4:rrr 5:_ 6:_ 7:_
train-A9186-3,1:_ 2:_ 3:rrr 4:_ 5:_ 6:_ 7:_
train-A9186-4,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9187-0,1:g 2:yy 3:ggg 4:_ 5:ggg 6:_ 7:rrrr
train-A9187-1,1:g 2:yy 3:gg 4:_ 5:ggg 6:_ 7:rrrr
train-A9187-2,1:_ 2:yyg 3:gg 4:_ 5:ggg 6:_ 7:rrrr
train-A9187-3,1:_ 2:yyg 3:g 4:_ 5:ggg 6:_ 7:rrrr
train-A9187-4,1:_ 2:_ 3:g 4:_ 5:ggg 6:_ 7:rrrr
train-A9188-0,1:gg 2:p 3:rrr 4:r 5:pp 6:yy 7:yyyy
train-A9188-1,1:gg 2:p 3:rrr 4:_ 5:pp 6:yy 7:yyyy
