id,final_world_state
train-A9164,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:ggg
train-A9165,1:yy 2:ooo 3:b 4:_ 5:gggg 6:rrr 7:pp
train-A9166,1:_ 2:bbb 3:_ 4:rrr 5:_ 6:_ 7:ppp
train-A9167,1:_ 2:gggg 3:_ 4:_ 5:r 6:_ 7:ggg
train-A9168,1:_ 2:_ 3:rrr 4:ooy 5:ggo 6:_ 7:_
train-A9169,1:_ 2:yyyy 3:gggg 4:_ 5:bbb 6:_ 7:_
train-A9171,1:_ 2:_ 3:ppg 4:_ 5:ppp 6:_ 7:_
train-A9172,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9173,1:_ 2:gpp 3:_ 4:oo 5:_ 6:gg 7:ooo
train-A9174,1:_ 2:r 3:p 4:_ 5:_ 6:_ 7:_
train-A9175,1:_ 2:gg 3:_ 4:_ 5:rrr 6:_ 7:p
train-A9176,1:_ 2:rrrr 3:oo 4:pp 5:_ 6:_ 7:_
train-A9177,1:bbb 2:_ 3:g 4:_ 5:gg 6:_ 7:_
train-A9178,1:_ 2:_ 3:bbb 4:_ 5:_ 6:_ 7:g
train-A9180,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9181,1:yyy 2:oo 3:_ 4:_ 5:o 6:oo 7:_
train-A9182,1:rrr 2:_ 3:_ 4:_ 5:_ 6:_ 7:y
train-A9183,1:gg 2:_ 3:pppp 4:_ 5:_ 6:_ 7:_
train-A9184,1:_ 2:p 3:_ 4:_ 5:_ 6:rr 7:bbb
train-A9186,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9187,1:_ 2:_ 3:g 4:_ 5:ggg 6:_ 7:rrrr
train-A9188,1:bbb 2:_ 3:rrr 4:_ 5:pp 6:yy 7:y
train-A9189,1:bbb 2:_ 3:_ 4:pppp 5:goo 6:_ 7:_
train-A9190,1:_ 2:_ 3:poo 4:_ 5:_ 6:ggr 7:_
train-A9191,1:gbb 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9192,1:_ 2:_ 3:_ 4:g 5:orr 6:_ 7:_
train-A9193,1:ppp 2:opg 3:oo 4:_ 5:_ 6:ppp 7:_
train-A9194,1:ppp 2:_ 3:yyy 4:_ 5:_ 6:_ 7:_
train-A9195,1:bb 2:oooo 3:ooo 4:_ 5:ggg 6:_ 7:_
train-A9196,1:_ 2:_ 3:ooo 4:yyy 5:b 6:_ 7:_
train-A9197,1:yyyy 2:_ 3:_ 4:ggg 5:g 6:_ 7:y
train-A9198,1:ooo 2:gg 3:o 4:pp 5:_ 6:ppp 7:gggg
train-A9199,1:_ 2:oooo 3:_ 4:_ 5:_ 6:ooo 7:b
train-A9200,1:_ 2:pp 3:ggg 4:rr 5:pppp 6:_ 7:_
train-A9201,1:_ 2:yyy 3:_ 4:_ 5:_ 6:_ 7:oooo
train-A9202,1:gg 2:ppp 3:_ 4:g 5:_ 6:ggg 7:_
train-A9203,1:r 2:pp 3:_ 4:_ 5:_ 6:_ 7:_
train-A9204,1:_ 2:ppp 3:_ 4:yyy 5:yy 6:_ 7:_
train-A9205,1:yyy 2:yyyy 3:_ 4:rr 5:oo 6:_ 7:gggg
train-A9206,1:_ 2:_ 3:_ 4:r 5:_ 6:_ 7:_
train-A9207,1:g 2:_ 3:_ 4:y 5:pp 6:bbb 7:g
train-A9208,1:_ 2:_ 3:_ 4:_ 5:_ 6:gggg 7:yyy
train-A9209,1:p 2:pppp 3:roo 4:_ 5:_ 6:_ 7:_
train-A9210,1:_ 2:_ 3:_ 4:_ 5:_ 6:r 7:_
train-A9211,1:_ 2:_ 3:_ 4:_ 5:o 6:_ 7:_
train-A9213,1:yy 2:_ 3:gggg 4:rr 5:pp 6:_ 7:_
train-A9214,1:rr 2:_ 3:ooo 4:_ 5:_ 6:g 7:_
train-A9218,1:yy 2:pp 3:_ 4:pp 5:oo 6:_ 7:rrr
train-A9219,1:y 2:_ 3:_ 4:_ 5:pp 6:_ 7:_
train-A9220,1:yyy 2:_ 3:_ 4:bbb 5:_ 6:_ 7:_
train-A9221,1:_ 2:p 3:_ 4:g 5:_ 6:_ 7:_
train-A9222,1:yyy 2:_ 3:_ 4:yyy 5:_ 6:p 7:_
train-A9223,1:yyyy 2:_ 3:_ 4:_ 5:ooy 6:ppp 7:_
train-A9224,1:g 2:ggg 3:_ 4:_ 5:bbb 6:_ 7:_
train-A9225,1:_ 2:_ 3:_ 4:ggg 5:_ 6:_ 7:_
train-A9226,1:_ 2:bbb 3:_ 4:_ 5:_ 6:_ 7:_
train-A9227,1:r 2:oooo 3:_ 4:_ 5:_ 6:_ 7:ppp
train-A9228,1:pppp 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9229,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
